context_3,context_2,context_1,response
"Я наверн уеду уже
Завтра у меня жопа со временнм","Я в 10 еду в Белорецк
Т.е. в час где то буду в городе
Можете без меня посидеть","Я уеду часов в 11 по делам
Если будет время утром, посижу поделаю чонить
Вы тоже если будет время поизучайте",Окей
"Я в 10 еду в Белорецк
Т.е. в час где то буду в городе
Можете без меня посидеть","Я уеду часов в 11 по делам
Если будет время утром, посижу поделаю чонить
Вы тоже если будет время поизучайте",Окей,Там в текстовый документ напишите Ч добавили бы или Ч вщ можно сделать
"Я уеду часов в 11 по делам
Если будет время утром, посижу поделаю чонить
Вы тоже если будет время поизучайте",Окей,Там в текстовый документ напишите Ч добавили бы или Ч вщ можно сделать,"Мне небольшая идея пришла
Я ее написал в текстовый файл на диске
Пересылаю сюда
Как идея:
Веб-сервис, который объединяет начинающих дата сантистов и малые предприятия. 

Проблема:
1. Есть начинающие, или просто дата сантисты, которые данные момент находятся в положении, в котором не могут найти как себя реализовать. Соответственно, наш веб сервис поможет им найти нужных клиентов, одновременно найдя им первый опыт работы, который так не хватает в наше время. 
2. Есть малые предприятия, которые в поисках методов и идей, которые улучшат и, соответственно, увеличат их прибыль и конкурентоспособность на рынке. Соответственно, наш веб сервис поможет им найти людей, которые смогут разработать такие алгоритмы машинного обучения, которые как раз таки увеличат их показатели, не обращаясь к крупным компаниям и не отдавая огромные деньги на это или на найм высококвалифицированных специалистов. 

Кем в данном случае можем выступать мы?
Для компаний:
Мы можем быть теми, кто проанализирует работу той или иной компании, и предложит идеи для улучшения ее работы методами машинного обучения и внедрения нейронных сетей. 
Для начинающих специалистов Data Science:
Мы поможем этим ребятам найти опыт в данной профессии, направив их в нужное русло, указав им, что требуется той или иной компании, а именно, какие данные потребуются, как их правильно обработать, какой алгоритм построить. 

В конечном итоге, после всех выше действий, мы также включимся работу, когда необходимо будет внедрить модель, созданную дата сантистом, в ту компанию, для которой она разрабатывалась.
Жду Ваших комментариев)"
Окей,Там в текстовый документ напишите Ч добавили бы или Ч вщ можно сделать,"Мне небольшая идея пришла
Я ее написал в текстовый файл на диске
Пересылаю сюда
Как идея:
Веб-сервис, который объединяет начинающих дата сантистов и малые предприятия. 

Проблема:
1. Есть начинающие, или просто дата сантисты, которые данные момент находятся в положении, в котором не могут найти как себя реализовать. Соответственно, наш веб сервис поможет им найти нужных клиентов, одновременно найдя им первый опыт работы, который так не хватает в наше время. 
2. Есть малые предприятия, которые в поисках методов и идей, которые улучшат и, соответственно, увеличат их прибыль и конкурентоспособность на рынке. Соответственно, наш веб сервис поможет им найти людей, которые смогут разработать такие алгоритмы машинного обучения, которые как раз таки увеличат их показатели, не обращаясь к крупным компаниям и не отдавая огромные деньги на это или на найм высококвалифицированных специалистов. 

Кем в данном случае можем выступать мы?
Для компаний:
Мы можем быть теми, кто проанализирует работу той или иной компании, и предложит идеи для улучшения ее работы методами машинного обучения и внедрения нейронных сетей. 
Для начинающих специалистов Data Science:
Мы поможем этим ребятам найти опыт в данной профессии, направив их в нужное русло, указав им, что требуется той или иной компании, а именно, какие данные потребуются, как их правильно обработать, какой алгоритм построить. 

В конечном итоге, после всех выше действий, мы также включимся работу, когда необходимо будет внедрить модель, созданную дата сантистом, в ту компанию, для которой она разрабатывалась.
Жду Ваших комментариев)",А за счет чего доход будет ?
Там в текстовый документ напишите Ч добавили бы или Ч вщ можно сделать,"Мне небольшая идея пришла
Я ее написал в текстовый файл на диске
Пересылаю сюда
Как идея:
Веб-сервис, который объединяет начинающих дата сантистов и малые предприятия. 

Проблема:
1. Есть начинающие, или просто дата сантисты, которые данные момент находятся в положении, в котором не могут найти как себя реализовать. Соответственно, наш веб сервис поможет им найти нужных клиентов, одновременно найдя им первый опыт работы, который так не хватает в наше время. 
2. Есть малые предприятия, которые в поисках методов и идей, которые улучшат и, соответственно, увеличат их прибыль и конкурентоспособность на рынке. Соответственно, наш веб сервис поможет им найти людей, которые смогут разработать такие алгоритмы машинного обучения, которые как раз таки увеличат их показатели, не обращаясь к крупным компаниям и не отдавая огромные деньги на это или на найм высококвалифицированных специалистов. 

Кем в данном случае можем выступать мы?
Для компаний:
Мы можем быть теми, кто проанализирует работу той или иной компании, и предложит идеи для улучшения ее работы методами машинного обучения и внедрения нейронных сетей. 
Для начинающих специалистов Data Science:
Мы поможем этим ребятам найти опыт в данной профессии, направив их в нужное русло, указав им, что требуется той или иной компании, а именно, какие данные потребуются, как их правильно обработать, какой алгоритм построить. 

В конечном итоге, после всех выше действий, мы также включимся работу, когда необходимо будет внедрить модель, созданную дата сантистом, в ту компанию, для которой она разрабатывалась.
Жду Ваших комментариев)",А за счет чего доход будет ?,"Компании будут платить
Либо можно также платить сантистам и от туда брать процент"
"Мне небольшая идея пришла
Я ее написал в текстовый файл на диске
Пересылаю сюда
Как идея:
Веб-сервис, который объединяет начинающих дата сантистов и малые предприятия. 

Проблема:
1. Есть начинающие, или просто дата сантисты, которые данные момент находятся в положении, в котором не могут найти как себя реализовать. Соответственно, наш веб сервис поможет им найти нужных клиентов, одновременно найдя им первый опыт работы, который так не хватает в наше время. 
2. Есть малые предприятия, которые в поисках методов и идей, которые улучшат и, соответственно, увеличат их прибыль и конкурентоспособность на рынке. Соответственно, наш веб сервис поможет им найти людей, которые смогут разработать такие алгоритмы машинного обучения, которые как раз таки увеличат их показатели, не обращаясь к крупным компаниям и не отдавая огромные деньги на это или на найм высококвалифицированных специалистов. 

Кем в данном случае можем выступать мы?
Для компаний:
Мы можем быть теми, кто проанализирует работу той или иной компании, и предложит идеи для улучшения ее работы методами машинного обучения и внедрения нейронных сетей. 
Для начинающих специалистов Data Science:
Мы поможем этим ребятам найти опыт в данной профессии, направив их в нужное русло, указав им, что требуется той или иной компании, а именно, какие данные потребуются, как их правильно обработать, какой алгоритм построить. 

В конечном итоге, после всех выше действий, мы также включимся работу, когда необходимо будет внедрить модель, созданную дата сантистом, в ту компанию, для которой она разрабатывалась.
Жду Ваших комментариев)",А за счет чего доход будет ?,"Компании будут платить
Либо можно также платить сантистам и от туда брать процент","А может нам лучше сантистов брать как бы к себе под крыло
И мы проводя аналитику и тд и тп
Выдавать им заказы на ту или иную компанию"
А за счет чего доход будет ?,"Компании будут платить
Либо можно также платить сантистам и от туда брать процент","А может нам лучше сантистов брать как бы к себе под крыло
И мы проводя аналитику и тд и тп
Выдавать им заказы на ту или иную компанию","Ну да, по сути тоже самое
Тип мы их направляем и находим практику все такое"
"Компании будут платить
Либо можно также платить сантистам и от туда брать процент","А может нам лучше сантистов брать как бы к себе под крыло
И мы проводя аналитику и тд и тп
Выдавать им заказы на ту или иную компанию","Ну да, по сути тоже самое
Тип мы их направляем и находим практику все такое",Но смотри
"А может нам лучше сантистов брать как бы к себе под крыло
И мы проводя аналитику и тд и тп
Выдавать им заказы на ту или иную компанию","Ну да, по сути тоже самое
Тип мы их направляем и находим практику все такое",Но смотри,"То есть облегчаем вход в это и создаем больше кадров
В случае чего сами также занимаемся тем или иным заказом
можно даже не по 1 а команды новичков собирать
и тип каждой команде по тимлиду из нашей команды"
"Ну да, по сути тоже самое
Тип мы их направляем и находим практику все такое",Но смотри,"То есть облегчаем вход в это и создаем больше кадров
В случае чего сами также занимаемся тем или иным заказом
можно даже не по 1 а команды новичков собирать
и тип каждой команде по тимлиду из нашей команды","Если мы просто будем их направлять
Это будет не так прибыльно
Нежели если мы их будем брать к себе
И грубо говоря будем давать процент от работы
Потому что в нас
Самая главная задача для гранта
Показать что мы рентабельны
И нам  нужно как можно эффективнее коммерциализировать нашу идею"
Но смотри,"То есть облегчаем вход в это и создаем больше кадров
В случае чего сами также занимаемся тем или иным заказом
можно даже не по 1 а команды новичков собирать
и тип каждой команде по тимлиду из нашей команды","Если мы просто будем их направлять
Это будет не так прибыльно
Нежели если мы их будем брать к себе
И грубо говоря будем давать процент от работы
Потому что в нас
Самая главная задача для гранта
Показать что мы рентабельны
И нам  нужно как можно эффективнее коммерциализировать нашу идею","Ну да, либо вот так делать
Как раз название с мостом подходит"
"То есть облегчаем вход в это и создаем больше кадров
В случае чего сами также занимаемся тем или иным заказом
можно даже не по 1 а команды новичков собирать
и тип каждой команде по тимлиду из нашей команды","Если мы просто будем их направлять
Это будет не так прибыльно
Нежели если мы их будем брать к себе
И грубо говоря будем давать процент от работы
Потому что в нас
Самая главная задача для гранта
Показать что мы рентабельны
И нам  нужно как можно эффективнее коммерциализировать нашу идею","Ну да, либо вот так делать
Как раз название с мостом подходит","Бля
Ебать гениально
И самое гениальное
Что мы в будущем можем сами не кодить
А лишь управлять процессом
Т.е. следовательно можем заниматься другими проектами"
,,,Надо во вторник обсудить с ними все это
,,Надо во вторник обсудить с ними все это,Надо бы только презу накидать)
,,,"Да, то есть можно не только тогда дата сантистов а еще бэков начинающих которые будут интегрировать это дело
то есть прям айтишников развивать
разных сфер
и мобильников
и бэков
и фронтов
вроде приколько звучит
тип знаешь, проблема что многие компании высокие планки ставят, а мы прям сразу практику даем
ну и вывозим на том что у нас опыта и там и там достаточно, и можем сами решать эти задачи если у них не получается
как социальная программа
для только открывшихся предприятий и новичков в IT
А здесь как раз можно попробовать внедрить идею которую я предлагал с автоматическим обучением
Типа им нужно будет просто на кнопки нужные жать и тип модель будет сама создаваться 
То есть они как бы шарят примерно как настроить надо, но не настолько тонко чтобы в коде, а мы как-бы упрощаем им работу на ранних этапах
Потом тип уже они на код будут переходить
И мы их тоже можем консультировать
Можно и с них тогда брать деньги, типа это уже будут как-будто курсы, но прям уже на реальных задачах 
Ну как идея"
,,"Да, то есть можно не только тогда дата сантистов а еще бэков начинающих которые будут интегрировать это дело
то есть прям айтишников развивать
разных сфер
и мобильников
и бэков
и фронтов
вроде приколько звучит
тип знаешь, проблема что многие компании высокие планки ставят, а мы прям сразу практику даем
ну и вывозим на том что у нас опыта и там и там достаточно, и можем сами решать эти задачи если у них не получается
как социальная программа
для только открывшихся предприятий и новичков в IT
А здесь как раз можно попробовать внедрить идею которую я предлагал с автоматическим обучением
Типа им нужно будет просто на кнопки нужные жать и тип модель будет сама создаваться 
То есть они как бы шарят примерно как настроить надо, но не настолько тонко чтобы в коде, а мы как-бы упрощаем им работу на ранних этапах
Потом тип уже они на код будут переходить
И мы их тоже можем консультировать
Можно и с них тогда брать деньги, типа это уже будут как-будто курсы, но прям уже на реальных задачах 
Ну как идея","Бля , грубо говоря мы собираемся открыть компанию которая будет писать по 🙃🙃🙃
Но это охуенно"
,"Да, то есть можно не только тогда дата сантистов а еще бэков начинающих которые будут интегрировать это дело
то есть прям айтишников развивать
разных сфер
и мобильников
и бэков
и фронтов
вроде приколько звучит
тип знаешь, проблема что многие компании высокие планки ставят, а мы прям сразу практику даем
ну и вывозим на том что у нас опыта и там и там достаточно, и можем сами решать эти задачи если у них не получается
как социальная программа
для только открывшихся предприятий и новичков в IT
А здесь как раз можно попробовать внедрить идею которую я предлагал с автоматическим обучением
Типа им нужно будет просто на кнопки нужные жать и тип модель будет сама создаваться 
То есть они как бы шарят примерно как настроить надо, но не настолько тонко чтобы в коде, а мы как-бы упрощаем им работу на ранних этапах
Потом тип уже они на код будут переходить
И мы их тоже можем консультировать
Можно и с них тогда брать деньги, типа это уже будут как-будто курсы, но прям уже на реальных задачах 
Ну как идея","Бля , грубо говоря мы собираемся открыть компанию которая будет писать по 🙃🙃🙃
Но это охуенно","Чот так не оч пойму, завтра созвонимся
Во скок кста сможете?"
"Да, то есть можно не только тогда дата сантистов а еще бэков начинающих которые будут интегрировать это дело
то есть прям айтишников развивать
разных сфер
и мобильников
и бэков
и фронтов
вроде приколько звучит
тип знаешь, проблема что многие компании высокие планки ставят, а мы прям сразу практику даем
ну и вывозим на том что у нас опыта и там и там достаточно, и можем сами решать эти задачи если у них не получается
как социальная программа
для только открывшихся предприятий и новичков в IT
А здесь как раз можно попробовать внедрить идею которую я предлагал с автоматическим обучением
Типа им нужно будет просто на кнопки нужные жать и тип модель будет сама создаваться 
То есть они как бы шарят примерно как настроить надо, но не настолько тонко чтобы в коде, а мы как-бы упрощаем им работу на ранних этапах
Потом тип уже они на код будут переходить
И мы их тоже можем консультировать
Можно и с них тогда брать деньги, типа это уже будут как-будто курсы, но прям уже на реальных задачах 
Ну как идея","Бля , грубо говоря мы собираемся открыть компанию которая будет писать по 🙃🙃🙃
Но это охуенно","Чот так не оч пойму, завтра созвонимся
Во скок кста сможете?","Можно в 2 примерно
Или вечером"
"Бля , грубо говоря мы собираемся открыть компанию которая будет писать по 🙃🙃🙃
Но это охуенно","Чот так не оч пойму, завтра созвонимся
Во скок кста сможете?","Можно в 2 примерно
Или вечером","У меня работа блин
Могу утром
Сможешь?"
"Чот так не оч пойму, завтра созвонимся
Во скок кста сможете?","Можно в 2 примерно
Или вечером","У меня работа блин
Могу утром
Сможешь?",Во сколько?
"Можно в 2 примерно
Или вечером","У меня работа блин
Могу утром
Сможешь?",Во сколько?,В 10
"У меня работа блин
Могу утром
Сможешь?",Во сколько?,В 10,"Хорошо
Как вообще идея тебе
Что писал
Что дкмаешь"
Во сколько?,В 10,"Хорошо
Как вообще идея тебе
Что писал
Что дкмаешь","Я пока не до конца понял
Завтра расскажешь, скажу чонить"
В 10,"Хорошо
Как вообще идея тебе
Что писал
Что дкмаешь","Я пока не до конца понял
Завтра расскажешь, скажу чонить",Оки
"Хорошо
Как вообще идея тебе
Что писал
Что дкмаешь","Я пока не до конца понял
Завтра расскажешь, скажу чонить",Оки,"Макс привет
заходи на серв
Бодя
нужны твои пиздливые способности
нужно крч узнать цены у конкурентов
maller и nordclan
чисто сайт maller"
"Я пока не до конца понял
Завтра расскажешь, скажу чонить",Оки,"Макс привет
заходи на серв
Бодя
нужны твои пиздливые способности
нужно крч узнать цены у конкурентов
maller и nordclan
чисто сайт maller",Хааазха
Оки,"Макс привет
заходи на серв
Бодя
нужны твои пиздливые способности
нужно крч узнать цены у конкурентов
maller и nordclan
чисто сайт maller",Хааазха,Сегодня бы вечером сесть
,,,ты сможешь богдан?
,,ты сможешь богдан?,"там просто вопросы появились ты возможно на них ответ знаешь
и еще по стилю презу надо сделать, если у тебя время будет свободное"
,,,"А завтра кто-то сможет на созвон?
Хочу понять что происходит
Завтра в городе буду"
,,"А завтра кто-то сможет на созвон?
Хочу понять что происходит
Завтра в городе буду","да, завтра уже надо доделать презентацию
как раз введем тебя в курс дела"
,"А завтра кто-то сможет на созвон?
Хочу понять что происходит
Завтра в городе буду","да, завтра уже надо доделать презентацию
как раз введем тебя в курс дела",Окей
"А завтра кто-то сможет на созвон?
Хочу понять что происходит
Завтра в городе буду","да, завтра уже надо доделать презентацию
как раз введем тебя в курс дела",Окей,ориентировочно в 19.00-20.00
"да, завтра уже надо доделать презентацию
как раз введем тебя в курс дела",Окей,ориентировочно в 19.00-20.00,"Да, конечно
Так
Напишите как вы соберетесь"
Окей,ориентировочно в 19.00-20.00,"Да, конечно
Так
Напишите как вы соберетесь","Я устал, мы с катайки щас по белой плыли 10 км, хочется отдохнуть
Я думал сил больше будет
Погнали завтра с утра ебашитб"
ориентировочно в 19.00-20.00,"Да, конечно
Так
Напишите как вы соберетесь","Я устал, мы с катайки щас по белой плыли 10 км, хочется отдохнуть
Я думал сил больше будет
Погнали завтра с утра ебашитб",Вы на сапах ?
"Да, конечно
Так
Напишите как вы соберетесь","Я устал, мы с катайки щас по белой плыли 10 км, хочется отдохнуть
Я думал сил больше будет
Погнали завтра с утра ебашитб",Вы на сапах ?,"Я с 10.30 свободен
Даааа
Это ахуенно
Расскажу в дисе"
"Я устал, мы с катайки щас по белой плыли 10 км, хочется отдохнуть
Я думал сил больше будет
Погнали завтра с утра ебашитб",Вы на сапах ?,"Я с 10.30 свободен
Даааа
Это ахуенно
Расскажу в дисе","Сук
Тоже хочу"
Вы на сапах ?,"Я с 10.30 свободен
Даааа
Это ахуенно
Расскажу в дисе","Сук
Тоже хочу","Бери сап на следующий год
И погнали хааххаах"
,,,Мы ещё один возьмём тоже
,,Мы ещё один возьмём тоже,Зачем
,,,"Ладно, хватит флудить"
,,,А то у влада всех детей разбудим
,,А то у влада всех детей разбудим,Уроды маолелтние блять
,,,Хочца
,,Хочца,Пхаххаха
,Хочца,Пхаххаха,Аахахахаха
Хочца,Пхаххаха,Аахахахаха,"Только срать и ссать могут в штаны
А ну и драться с матами"
Пхаххаха,Аахахахаха,"Только срать и ссать могут в штаны
А ну и драться с матами",Ахахаха
